age,job,marital,education,balance,housing,loan,duration,campaign,pdays,previous,target
58,housemaid,married,1,5278,yes,no,763,4,-1,0,no
59,management,married,3,1831,no,no,122,1,92,1,no
28,management,married,3,1480,yes,no,143,1,-1,0,no
48,management,married,3,7289,yes,no,316,3,-1,0,no
37,blue-collar,single,1,851,yes,no,151,1,352,1,no
41,management,married,3,2885,no,no,40,1,-1,0,no
35,blue-collar,married,2,137,no,yes,5,1,808,12,no
34,blue-collar,single,2,1239,yes,no,90,1,-1,0,no
43,management,single,3,146,no,no,50,1,113,5,no
59,technician,married,2,1,no,no,159,2,378,3,yes
50,blue-collar,divorced,1,-10,no,yes,369,6,-1,0,no
37,technician,married,2,480,no,no,344,2,182,8,yes
35,technician,married,2,2789,yes,no,256,2,94,1,no
50,technician,single,2,3897,no,no,298,1,-1,0,no
36,technician,divorced,2,487,no,yes,268,3,-1,0,no
41,admin.,married,2,5110,yes,no,231,1,-1,0,no
28,management,married,3,318,yes,no,4,4,-1,0,no
42,technician,single,3,-411,yes,no,78,5,292,3,no
60,retired,married,2,4820,no,no,419,1,-1,0,no
28,management,single,3,4937,yes,no,421,3,-1,0,no
48,entrepreneur,married,2,725,no,yes,105,1,-1,0,no
51,entrepreneur,married,3,5403,no,no,42,1,-1,0,no
32,technician,married,3,4089,no,no,114,7,287,3,no
35,technician,married,3,188,no,no,286,2,-1,0,no
38,blue-collar,divorced,2,2998,yes,no,91,1,-1,0,no
77,retired,married,2,610,no,no,766,3,-1,0,no
43,technician,divorced,2,167,no,no,211,3,-1,0,no
36,management,single,3,243,yes,no,160,2,360,3,no
29,management,married,3,877,no,no,166,3,-1,0,no
32,admin.,single,2,2817,yes,no,195,1,-1,0,no
41,management,divorced,3,4567,yes,yes,106,1,-1,0,no
26,services,single,2,127,yes,yes,85,3,-1,0,no
34,blue-collar,married,1,176,no,no,78,1,-1,0,no
57,retired,married,3,0,yes,yes,648,1,-1,0,yes
36,services,single,2,1482,yes,no,177,2,174,1,no
42,blue-collar,married,2,3052,yes,no,32,1,-1,0,no
35,technician,divorced,2,56,no,no,24,12,-1,0,no
52,entrepreneur,divorced,1,278,yes,no,688,2,-1,0,no
36,management,single,3,3875,yes,no,21,5,-1,0,no
46,technician,married,2,-337,yes,no,112,1,-1,0,no
60,management,divorced,3,366,no,no,593,1,-1,0,yes
57,housemaid,married,1,501,yes,yes,59,2,-1,0,no
48,management,married,3,998,yes,no,121,3,-1,0,no
59,self-employed,married,1,0,yes,no,97,2,-1,0,no
39,management,married,3,246,no,no,86,2,-1,0,no
44,blue-collar,married,2,-182,yes,yes,10,10,-1,0,no
27,management,single,3,446,no,no,205,3,-1,0,no
59,retired,married,2,1173,no,no,77,2,-1,0,no
36,technician,divorced,2,5957,yes,no,138,2,-1,0,no
44,admin.,married,2,205,no,no,289,1,-1,0,yes
50,admin.,married,2,0,no,no,86,4,-1,0,no
41,management,divorced,3,369,yes,no,9,3,-1,0,no
47,admin.,married,2,1934,no,yes,225,1,364,1,no
32,technician,single,3,259,no,no,407,4,-1,0,no
38,blue-collar,married,2,284,yes,yes,1030,6,-1,0,no
38,management,single,3,1373,no,no,119,4,-1,0,no
31,management,single,3,62,yes,no,175,1,293,5,no
38,blue-collar,divorced,2,157,no,no,299,5,-1,0,no
29,unemployed,single,3,991,no,no,563,1,-1,0,no
55,services,married,2,186,yes,yes,241,1,-1,0,no
35,unemployed,married,2,977,yes,no,52,4,91,1,no
40,self-employed,single,3,2893,no,no,76,3,-1,0,no
34,blue-collar,married,2,1897,yes,yes,441,1,-1,0,no
32,technician,single,3,5514,no,no,319,1,182,1,yes
33,blue-collar,married,2,889,yes,no,13,1,373,6,no
33,management,married,3,273,yes,no,803,1,-1,0,yes
37,admin.,married,2,1193,no,no,396,2,-1,0,no
58,management,married,3,2729,no,no,188,1,-1,0,no
36,admin.,single,2,0,no,no,637,1,-1,0,no
42,blue-collar,married,2,230,yes,no,175,7,-1,0,no
34,technician,single,2,2729,yes,no,945,1,139,1,no
35,management,married,3,317,yes,no,162,3,-1,0,no
60,housemaid,married,1,517,no,no,1178,3,-1,0,no
50,management,married,3,-470,yes,no,506,2,170,3,no
28,self-employed,single,3,4579,no,no,409,2,-1,0,yes
27,blue-collar,divorced,2,1,yes,no,116,3,-1,0,no
37,management,married,3,5106,no,no,244,1,-1,0,yes
31,technician,married,3,636,yes,no,352,4,-1,0,yes
34,services,married,2,1076,no,no,152,1,182,6,yes
38,management,married,3,126,yes,no,164,2,-1,0,no
32,self-employed,married,2,-33,yes,no,234,3,-1,0,no
37,technician,married,2,430,no,no,154,4,-1,0,no
33,admin.,married,2,-6,yes,no,566,2,-1,0,no
71,technician,married,3,383,no,no,327,2,183,3,no
27,technician,married,2,130,yes,no,265,3,-1,0,no
38,blue-collar,married,1,2569,no,no,172,1,-1,0,no
34,technician,single,2,201,no,no,257,2,-1,0,no
54,retired,divorced,3,0,no,no,618,1,-1,0,yes
30,blue-collar,married,2,6,yes,no,241,3,-1,0,no
35,entrepreneur,single,2,475,no,yes,936,4,-1,0,no
33,blue-collar,single,2,706,yes,no,329,1,322,1,no
36,management,married,2,1825,yes,no,24,1,346,1,no
59,self-employed,married,3,185,no,no,177,5,138,1,no
72,blue-collar,married,1,4415,no,no,120,1,-1,0,no
64,management,married,3,679,no,no,135,3,-1,0,no
53,technician,divorced,2,320,no,no,175,1,-1,0,no
35,management,single,3,2988,yes,no,179,1,-1,0,no
58,self-employed,married,2,1407,yes,no,58,1,-1,0,no
40,technician,married,2,1270,no,no,342,2,-1,0,no
41,services,divorced,2,654,yes,no,139,2,-1,0,no
48,retired,married,1,5173,yes,no,88,8,-1,0,no
44,entrepreneur,married,3,3463,yes,yes,210,3,-1,0,no
61,management,married,3,6016,no,no,670,3,-1,0,yes
36,entrepreneur,married,1,177,yes,no,63,5,-1,0,no
28,management,married,3,3694,no,yes,70,2,-1,0,no
58,retired,single,2,1640,no,yes,72,6,274,4,no
60,admin.,divorced,2,174,yes,no,241,1,364,1,no
66,admin.,single,2,10177,no,no,272,4,-1,0,no
36,management,single,3,490,no,no,207,8,98,1,yes
49,self-employed,married,2,2576,yes,no,64,6,-1,0,no
40,services,married,2,0,no,no,543,2,-1,0,no
23,technician,single,2,598,no,no,166,1,-1,0,no
29,management,single,3,15459,no,no,245,3,97,7,no
44,blue-collar,married,1,271,yes,yes,94,1,-1,0,no
47,blue-collar,married,1,320,no,no,203,2,-1,0,no
33,admin.,married,3,640,no,no,318,1,-1,0,no
30,self-employed,married,2,1772,yes,no,158,4,-1,0,no
27,admin.,single,2,15,no,yes,177,1,-1,0,no
49,management,divorced,3,2370,yes,yes,56,1,103,2,no
27,services,single,2,201,yes,no,172,2,-1,0,no
51,blue-collar,married,2,160,yes,no,136,1,359,1,no
32,admin.,divorced,2,5,yes,yes,82,3,363,2,no
30,blue-collar,single,2,75,yes,no,123,1,-1,0,no
33,admin.,married,2,4902,yes,no,110,1,-1,0,no
27,blue-collar,single,1,-79,yes,no,385,5,-1,0,no
75,retired,divorced,2,1341,no,no,415,7,-1,0,yes
37,services,divorced,2,490,yes,no,73,1,-1,0,no
36,technician,single,2,1521,yes,no,243,2,-1,0,no
37,blue-collar,married,2,131,yes,no,137,2,-1,0,no
35,management,married,3,8,yes,no,55,4,-1,0,no
32,services,married,2,-632,yes,yes,18,5,-1,0,no
32,admin.,single,2,116,no,yes,255,2,-1,0,no
35,admin.,married,1,189,yes,no,95,1,-1,0,no
31,blue-collar,married,1,2,yes,yes,112,1,-1,0,no
28,blue-collar,single,2,4229,yes,yes,205,2,-1,0,no
27,services,married,2,54,yes,no,97,1,370,1,no
35,blue-collar,married,1,298,yes,no,135,2,370,2,no
69,retired,married,1,579,no,no,230,1,-1,0,no
37,entrepreneur,single,3,1467,yes,yes,349,1,-1,0,no
45,admin.,single,2,0,yes,no,38,1,-1,0,no
47,management,married,3,109,yes,no,268,1,-1,0,no
52,management,married,3,-11,yes,no,94,4,-1,0,no
33,services,married,2,90,yes,no,263,2,-1,0,no
60,blue-collar,married,1,493,no,no,671,4,-1,0,yes
33,management,divorced,2,1897,yes,yes,197,1,-1,0,no
44,admin.,married,2,2403,yes,no,180,2,-1,0,no
38,entrepreneur,married,2,868,no,no,452,2,-1,0,no
54,entrepreneur,married,2,653,yes,no,352,1,-1,0,no
32,unemployed,divorced,1,0,no,no,175,4,-1,0,no
33,technician,married,2,0,yes,yes,163,2,-1,0,no
55,services,divorced,2,218,yes,no,200,2,-1,0,no
51,blue-collar,married,1,5050,no,yes,75,7,-1,0,no
48,blue-collar,married,2,741,yes,no,227,1,-1,0,no
37,services,single,2,1050,yes,no,586,3,-1,0,no
33,services,single,2,-56,no,yes,119,5,-1,0,no
30,blue-collar,married,1,1,yes,yes,80,2,-1,0,no
43,blue-collar,married,1,-98,yes,yes,112,2,330,3,no
49,technician,married,2,4667,yes,no,130,2,-1,0,no
54,unemployed,married,1,541,yes,no,237,3,-1,0,no
31,unemployed,married,3,7744,no,no,377,8,-1,0,no
36,unemployed,married,2,-129,yes,no,121,3,-1,0,no
30,admin.,married,2,0,no,no,127,5,-1,0,no
27,technician,single,2,158,no,no,650,2,-1,0,yes
30,admin.,married,2,122,yes,no,107,1,-1,0,no
30,blue-collar,married,2,673,yes,no,610,2,-1,0,no
35,technician,divorced,2,0,no,no,124,4,-1,0,no
33,services,divorced,2,411,yes,no,216,1,-1,0,no
43,blue-collar,divorced,1,-97,yes,yes,747,4,-1,0,no
41,blue-collar,married,2,-217,yes,no,313,1,349,3,no
41,management,divorced,3,5037,no,no,252,9,185,5,yes
46,admin.,divorced,2,2232,no,no,121,1,-1,0,yes
54,blue-collar,married,2,-932,yes,no,799,1,-1,0,no
32,management,married,3,913,yes,no,883,1,674,4,no
30,technician,single,3,236,yes,no,197,1,-1,0,no
40,entrepreneur,married,1,0,yes,no,271,2,-1,0,no
30,blue-collar,married,1,2581,no,no,221,2,-1,0,no
27,admin.,married,2,639,no,yes,243,3,-1,0,no
41,blue-collar,married,1,849,yes,no,72,1,-1,0,no
54,services,married,2,386,yes,no,155,2,-1,0,no
32,management,single,3,1218,yes,no,70,2,-1,0,no
31,management,married,3,2603,yes,no,280,4,-1,0,yes
42,blue-collar,married,2,-921,yes,no,115,2,-1,0,no
48,admin.,married,1,607,no,no,29,2,-1,0,no
34,blue-collar,married,1,79,yes,no,406,2,-1,0,no
55,technician,divorced,2,61,yes,yes,113,3,-1,0,no
49,technician,married,2,1091,no,no,47,2,-1,0,no
46,management,divorced,3,743,no,no,36,2,-1,0,no
24,management,single,3,172,no,no,67,2,-1,0,no
58,entrepreneur,married,2,2,no,no,684,1,-1,0,no
32,management,single,3,41,no,no,686,5,-1,0,yes
25,student,single,2,1116,yes,no,170,3,-1,0,no
49,blue-collar,married,2,-55,no,no,150,3,-1,0,no
59,retired,divorced,2,5845,no,no,1060,2,-1,0,yes
30,management,single,3,329,yes,no,122,16,-1,0,no
46,blue-collar,married,2,494,yes,no,724,1,-1,0,no
37,entrepreneur,married,3,2685,no,no,187,2,-1,0,no
44,blue-collar,married,1,-14,yes,yes,179,4,-1,0,no
49,services,married,2,5673,no,yes,357,3,-1,0,no
41,blue-collar,married,2,1459,no,no,82,1,-1,0,no
48,technician,married,3,0,no,no,176,15,-1,0,no
31,management,married,2,625,yes,no,424,1,138,1,no
51,services,married,2,867,yes,no,177,2,211,3,no
80,retired,married,2,8304,no,no,712,1,64,12,yes
32,management,single,3,151,yes,no,118,1,-1,0,no
48,services,married,1,-583,yes,no,25,7,-1,0,no
49,blue-collar,married,3,1784,no,no,753,1,-1,0,no
30,management,married,3,3134,yes,no,124,1,-1,0,no
27,self-employed,single,2,49,yes,no,208,2,-1,0,no
34,technician,married,2,-346,no,no,136,4,-1,0,no
49,management,married,2,1623,yes,no,1081,2,-1,0,yes
48,management,married,3,60,no,no,376,2,339,7,no
40,services,married,2,17,no,no,78,1,-1,0,no
38,blue-collar,married,2,2008,yes,no,354,1,-1,0,no
46,blue-collar,married,1,91,yes,no,29,1,356,2,no
41,entrepreneur,married,3,171,yes,no,209,1,191,4,no
28,management,single,3,1027,yes,no,433,1,-1,0,no
33,blue-collar,divorced,1,142,yes,no,41,2,300,5,no
26,management,single,3,205,no,no,111,1,-1,0,no
34,admin.,single,2,852,no,no,108,2,-1,0,no
27,blue-collar,married,2,-584,yes,no,411,2,-1,0,no
42,self-employed,married,2,97,no,no,108,2,-1,0,no
45,admin.,married,2,204,yes,no,224,2,-1,0,yes
31,technician,single,2,628,yes,no,1083,2,-1,0,no
32,management,single,3,311,no,no,757,2,-1,0,yes
39,blue-collar,married,1,1564,no,no,57,1,-1,0,no
26,blue-collar,single,2,856,yes,yes,95,5,-1,0,no
40,management,single,3,1509,no,no,144,2,124,1,no
52,services,married,2,-888,no,no,135,1,-1,0,no
40,technician,single,3,226,no,no,176,2,-1,0,no
48,technician,married,2,127,no,yes,524,5,-1,0,no
31,services,married,2,413,yes,no,65,1,-1,0,no
27,admin.,married,2,710,yes,yes,653,1,334,2,yes
47,technician,married,2,1233,yes,no,91,1,100,2,yes
28,management,single,2,171,no,no,93,1,-1,0,yes
40,management,divorced,3,69,yes,no,503,2,280,2,no
34,admin.,married,2,1499,yes,no,186,1,327,2,no
29,self-employed,married,3,751,yes,no,121,2,-1,0,no
36,management,married,3,61,no,yes,452,2,-1,0,no
83,retired,married,1,425,no,no,883,1,140,1,yes
55,services,divorced,1,2923,yes,no,104,2,-1,0,no
43,management,divorced,3,99,no,no,24,3,-1,0,no
23,student,single,2,1021,no,no,79,9,-1,0,no
44,technician,married,3,1146,no,no,178,2,-1,0,no
58,blue-collar,married,1,781,yes,no,74,2,-1,0,no
29,admin.,single,2,1448,no,no,217,1,184,7,no
30,management,single,3,604,no,yes,475,1,-1,0,no
29,admin.,single,2,-194,yes,no,127,1,-1,0,no
41,technician,married,2,0,no,no,101,1,-1,0,no
35,housemaid,married,1,0,yes,no,340,3,-1,0,no
31,technician,single,2,1014,yes,no,158,4,-1,0,no
27,admin.,single,3,73,no,no,242,1,-1,0,no
47,services,married,2,2597,yes,no,323,1,-1,0,no
53,self-employed,married,3,2627,yes,yes,18,30,-1,0,no
34,management,married,3,1906,yes,no,68,3,-1,0,no
34,blue-collar,married,1,-319,yes,yes,134,4,-1,0,no
36,management,married,3,-296,yes,no,113,3,-1,0,no
40,technician,married,2,169,yes,no,43,4,-1,0,no
37,self-employed,single,3,556,no,no,200,2,-1,0,no
53,technician,divorced,2,751,yes,no,343,4,-1,0,no
28,technician,single,2,126,no,no,229,1,-1,0,no
33,technician,divorced,3,-386,yes,no,530,1,-1,0,no
56,blue-collar,married,1,379,no,no,58,5,-1,0,no
45,self-employed,married,2,706,no,no,78,2,176,1,no
39,technician,married,2,9121,no,no,147,1,-1,0,no
28,management,single,3,1466,yes,no,40,1,-1,0,no
36,blue-collar,married,1,0,yes,no,618,2,-1,0,no
41,blue-collar,married,1,951,yes,no,23,4,-1,0,no
46,admin.,married,2,368,no,no,293,1,90,4,yes
41,blue-collar,married,2,121,yes,no,16,6,176,5,no
59,services,married,2,204,no,no,286,2,-1,0,no
24,admin.,married,2,299,yes,no,209,1,321,1,no
34,management,married,3,4170,yes,no,935,1,-1,0,no
40,blue-collar,married,1,-335,yes,no,260,1,-1,0,no
42,admin.,married,2,3165,yes,no,298,4,-1,0,no
50,services,married,2,254,yes,no,397,2,337,1,no
25,management,single,3,553,yes,no,113,4,479,1,no
51,services,divorced,2,518,yes,no,76,1,-1,0,no
50,management,married,3,85,no,yes,141,1,-1,0,no
21,services,single,2,361,no,no,329,1,95,1,no
52,blue-collar,married,2,-98,yes,no,423,1,-1,0,no
55,retired,married,1,4424,no,no,67,4,-1,0,no
26,technician,single,2,2610,yes,yes,626,1,-1,0,no
38,technician,married,3,3234,no,no,578,2,-1,0,yes
32,blue-collar,married,2,687,yes,no,61,1,-1,0,no
31,blue-collar,married,2,631,yes,no,248,4,-1,0,no
34,technician,single,2,341,no,yes,136,1,262,3,no
33,technician,single,3,316,no,no,126,3,-1,0,no
35,technician,married,2,2,no,no,653,3,-1,0,no
48,management,divorced,3,507,yes,no,528,1,-1,0,no
29,blue-collar,married,2,912,yes,no,785,1,-1,0,no
50,management,married,3,0,no,no,243,5,-1,0,no
37,blue-collar,married,1,37,yes,no,24,2,362,1,no
44,admin.,single,2,2524,no,no,82,1,-1,0,no
36,unemployed,single,3,9019,yes,no,952,3,-1,0,no
31,blue-collar,married,2,0,yes,no,143,1,-1,0,no
49,technician,divorced,2,265,yes,no,274,6,-1,0,no
35,blue-collar,single,2,0,yes,no,1174,1,345,4,yes
42,blue-collar,married,1,1520,yes,no,115,1,-1,0,no
36,blue-collar,divorced,2,-140,yes,no,222,2,-1,0,no
75,retired,divorced,1,852,no,no,341,1,-1,0,no
38,blue-collar,single,2,578,yes,no,112,2,-1,0,no
40,blue-collar,married,1,0,yes,no,64,2,-1,0,no
38,services,single,2,2253,yes,no,937,3,-1,0,yes
34,management,single,3,1171,yes,no,129,1,-1,0,no
29,technician,single,3,452,yes,no,59,1,-1,0,no
28,admin.,married,2,-97,yes,no,79,1,225,2,no
79,retired,married,2,4738,no,no,151,5,-1,0,no
51,admin.,divorced,2,467,yes,no,83,1,-1,0,no
32,student,single,3,0,no,no,101,5,3,6,no
36,management,married,3,495,no,no,157,3,97,2,yes
38,entrepreneur,married,2,157,no,yes,57,11,366,1,no
49,self-employed,married,2,358,yes,yes,176,3,-1,0,no
42,services,married,2,292,yes,no,222,3,-1,0,no
43,blue-collar,married,1,7343,yes,no,217,4,-1,0,no
34,blue-collar,married,2,-563,yes,no,252,1,-1,0,no
59,retired,single,2,351,yes,no,1063,5,-1,0,yes
35,unknown,married,1,365,no,no,41,2,-1,0,no
33,blue-collar,single,2,13494,yes,no,27,25,-1,0,no
34,admin.,single,2,846,yes,no,758,2,-1,0,no
64,retired,married,2,1574,no,no,301,3,-1,0,yes
34,entrepreneur,married,3,-28,yes,no,574,1,-1,0,no
77,retired,married,3,0,no,no,847,1,60,1,yes
57,retired,married,1,2927,no,yes,78,5,-1,0,no
30,blue-collar,married,2,501,yes,yes,514,1,-1,0,no
56,housemaid,divorced,1,1238,no,no,1558,1,-1,0,yes
73,retired,married,1,1388,no,no,146,3,190,3,no
39,technician,single,2,102,yes,no,272,2,-1,0,no
57,technician,divorced,1,13,yes,no,323,2,368,2,no
32,self-employed,married,2,413,yes,no,712,2,-1,0,no
32,technician,single,3,4665,yes,no,860,2,-1,0,yes
45,admin.,married,2,638,yes,no,75,9,-1,0,no
32,blue-collar,married,2,101,yes,no,191,4,-1,0,no
31,management,married,3,1224,yes,yes,1441,2,-1,0,yes
49,self-employed,married,2,1103,no,no,428,2,-1,0,no
29,services,married,2,3748,no,no,322,3,-1,0,no
55,technician,married,2,955,yes,no,104,1,-1,0,no
30,admin.,married,2,518,yes,no,127,1,-1,0,no
45,services,single,1,1893,yes,no,1259,6,-1,0,yes
39,technician,married,3,14,no,no,114,2,-1,0,no
36,admin.,married,2,-423,yes,yes,106,1,-1,0,no
33,management,married,3,3696,no,no,305,1,182,3,no
36,management,married,3,2987,yes,no,307,1,-1,0,yes
31,technician,single,2,433,no,no,1504,2,-1,0,no
38,technician,single,3,0,yes,no,71,1,-1,0,no
33,unknown,married,2,2727,no,no,205,3,-1,0,no
40,technician,married,2,93,yes,no,134,2,-1,0,no
31,blue-collar,married,2,1766,no,yes,166,2,-1,0,yes
39,services,married,2,124,yes,no,81,5,-1,0,no
33,admin.,married,3,69,no,yes,77,2,-1,0,no
53,services,divorced,2,0,no,no,80,2,-1,0,yes
38,management,married,3,0,yes,no,537,5,303,2,no
59,technician,married,2,259,no,no,415,1,89,1,yes
55,blue-collar,married,1,4103,no,no,291,1,-1,0,no
38,technician,single,3,744,yes,no,283,1,288,12,no
48,services,married,2,116,yes,no,70,4,-1,0,no
53,blue-collar,married,2,70,yes,no,611,2,-1,0,no
44,admin.,divorced,2,432,no,no,132,3,-1,0,no
57,management,married,3,1172,no,no,26,1,-1,0,no
29,blue-collar,single,2,9,yes,no,262,3,-1,0,no
31,services,married,2,428,yes,no,272,1,-1,0,no
35,technician,single,3,7546,yes,no,137,1,122,3,no
31,blue-collar,married,1,620,no,no,95,1,-1,0,no
35,self-employed,married,3,8647,no,no,140,2,-1,0,no
40,management,single,2,192,yes,no,71,11,-1,0,no
39,blue-collar,married,2,0,yes,no,502,1,7,2,no
43,technician,single,3,27733,yes,no,164,7,-1,0,no
44,entrepreneur,married,1,276,yes,yes,219,1,-1,0,no
29,technician,single,2,113,no,no,328,2,183,4,yes
40,technician,married,2,782,yes,no,224,2,-1,0,no
33,entrepreneur,married,1,82,yes,no,63,2,-1,0,no
46,management,married,3,1008,no,no,24,13,-1,0,no
27,unknown,single,3,6421,no,no,147,4,-1,0,no
26,admin.,single,2,443,no,no,84,3,-1,0,no
41,technician,married,2,351,yes,no,175,1,-1,0,no
34,technician,married,3,5060,yes,no,12,21,-1,0,no
39,technician,single,3,-41,no,yes,40,15,-1,0,no
27,services,single,2,-124,no,no,217,1,-1,0,no
31,blue-collar,married,2,79,yes,yes,235,11,-1,0,no
44,unemployed,single,2,3945,no,no,255,1,-1,0,no
55,retired,married,3,197,no,yes,256,1,-1,0,no
51,blue-collar,divorced,1,837,no,no,41,2,-1,0,no
50,management,married,3,-94,no,yes,75,1,-1,0,no
30,services,married,2,1743,yes,no,192,4,-1,0,no
46,technician,married,2,57,no,no,796,1,-1,0,yes
49,admin.,married,2,635,no,no,220,3,-1,0,no
56,retired,married,2,-113,yes,yes,614,2,-1,0,no
47,admin.,divorced,2,225,no,no,1126,4,-1,0,yes
30,admin.,married,2,124,no,no,161,2,-1,0,no
36,entrepreneur,single,2,475,no,no,141,3,-1,0,no
40,management,married,3,-7,no,yes,697,1,-1,0,no
37,technician,single,2,375,no,no,223,2,-1,0,no
42,admin.,divorced,2,936,no,no,931,1,-1,0,yes
45,technician,married,2,1415,yes,no,483,1,116,1,no
34,unemployed,single,2,0,no,no,63,2,-1,0,no
27,admin.,single,2,3638,no,no,271,5,-1,0,no
30,blue-collar,married,2,-99,yes,no,144,5,-1,0,no
32,technician,married,2,167,yes,yes,79,3,-1,0,no
46,housemaid,married,1,19,yes,no,171,1,-1,0,no
29,self-employed,married,3,242,yes,no,73,4,-1,0,no
32,technician,married,2,286,no,no,60,1,343,4,no
49,unemployed,married,2,769,yes,no,257,1,-1,0,no
35,management,married,3,93,no,no,198,2,88,1,no
38,blue-collar,married,2,1663,yes,no,217,3,327,1,no
39,entrepreneur,married,1,238,yes,yes,134,1,-1,0,no
34,technician,single,2,2178,yes,no,41,1,-1,0,no
42,blue-collar,married,1,792,yes,yes,611,2,175,12,no
60,admin.,married,2,1025,no,no,388,8,-1,0,no
57,technician,divorced,2,63,yes,no,242,1,-1,0,no
31,blue-collar,single,2,16,no,no,387,1,-1,0,no
29,management,single,2,417,no,no,90,1,-1,0,no
41,services,married,2,3992,yes,no,281,2,-1,0,no
46,blue-collar,married,1,2749,yes,no,332,1,-1,0,no
33,technician,married,2,133,no,no,218,1,-1,0,yes
32,blue-collar,single,2,1721,yes,no,650,2,-1,0,no
54,management,divorced,3,2171,yes,yes,1034,1,-1,0,yes
37,services,married,2,4760,yes,no,182,2,169,2,no
32,technician,single,2,2979,no,no,156,1,-1,0,no
43,management,married,3,690,yes,no,171,3,-1,0,no
50,blue-collar,divorced,2,203,yes,no,265,1,127,4,no
34,blue-collar,married,2,322,yes,no,10,3,-1,0,no
31,admin.,divorced,2,1210,no,no,350,1,-1,0,no
43,self-employed,married,2,634,yes,no,65,1,131,1,no
49,entrepreneur,married,2,273,no,no,58,1,-1,0,no
35,management,married,3,1100,no,yes,127,2,-1,0,no
56,admin.,married,2,0,yes,no,154,2,-1,0,no
53,blue-collar,married,2,0,no,no,36,4,-1,0,no
54,entrepreneur,married,3,1544,no,yes,85,7,196,3,no
41,self-employed,married,2,28,yes,no,49,1,-1,0,no
40,blue-collar,married,2,1012,yes,no,410,1,-1,0,no
33,blue-collar,married,1,245,yes,yes,253,3,-1,0,no
33,management,single,3,1998,no,no,570,1,-1,0,no
34,blue-collar,married,2,3990,yes,no,633,7,-1,0,no
36,services,married,2,1328,yes,no,82,4,-1,0,no
34,entrepreneur,married,3,412,yes,yes,164,1,-1,0,no
55,management,married,1,229,no,yes,175,3,-1,0,no
28,student,single,3,1562,no,no,659,4,-1,0,yes
29,admin.,single,2,3432,yes,no,139,2,-1,0,no
31,admin.,single,2,144,yes,no,43,11,-1,0,no
52,management,married,3,1339,yes,no,343,5,-1,0,no
43,blue-collar,married,1,7727,yes,no,302,8,-1,0,no
55,entrepreneur,married,2,204,no,no,455,13,-1,0,no
45,unemployed,divorced,2,728,yes,yes,107,1,-1,0,no
45,entrepreneur,married,1,2418,yes,no,120,1,-1,0,no
51,management,married,3,2934,yes,no,727,4,-1,0,no
42,technician,single,2,0,yes,no,275,4,-1,0,no
34,management,married,3,176,no,no,61,4,-1,0,no
36,blue-collar,married,1,49,yes,no,232,2,365,5,no
37,blue-collar,married,2,2023,yes,no,214,1,-1,0,no
50,blue-collar,married,2,372,yes,no,21,1,-1,0,no
34,blue-collar,single,1,464,yes,no,173,1,299,2,no
48,management,married,2,117,yes,no,635,1,-1,0,no
47,admin.,married,2,104,yes,yes,77,2,-1,0,no
40,management,married,3,1041,yes,no,73,1,-1,0,no
37,management,married,3,539,no,no,540,2,115,3,no
38,blue-collar,married,1,0,yes,no,179,2,-1,0,no
29,technician,single,3,406,yes,no,119,1,-1,0,no
46,blue-collar,married,1,2558,yes,no,107,1,167,1,no
26,blue-collar,married,2,484,yes,no,48,2,-1,0,no
30,services,single,3,3516,yes,no,447,4,-1,0,no
42,blue-collar,married,2,5639,yes,no,430,2,-1,0,no
42,management,single,3,100,no,no,64,2,-1,0,no
31,admin.,single,2,1306,yes,no,217,5,-1,0,no
37,management,single,3,815,yes,no,77,1,-1,0,no
26,blue-collar,married,2,245,yes,no,16,11,-1,0,no
70,retired,married,2,2815,no,no,125,2,182,1,no
29,self-employed,single,2,3672,yes,yes,1210,1,-1,0,no
50,services,married,2,1572,yes,no,185,1,-1,0,no
60,unemployed,divorced,2,385,yes,no,80,1,-1,0,no
32,technician,single,2,29,no,no,156,2,-1,0,no
32,technician,married,2,84,no,yes,403,3,-1,0,no
34,self-employed,single,3,876,yes,no,145,2,-1,0,no
48,services,single,1,1499,yes,no,17,7,-1,0,no
25,student,married,3,0,yes,no,160,1,-1,0,no
32,management,married,2,6217,yes,yes,486,2,181,2,no
32,blue-collar,married,1,329,yes,no,321,1,-1,0,no
47,admin.,divorced,2,162,yes,no,203,4,-1,0,no
49,management,single,3,151,yes,no,97,3,-1,0,yes
53,services,married,2,-2,yes,yes,144,2,-1,0,no
47,management,divorced,3,1149,no,yes,82,2,-1,0,no
35,blue-collar,married,1,11,yes,no,326,4,-1,0,no
33,management,single,2,8004,no,no,414,3,-1,0,no
49,blue-collar,married,1,1019,yes,no,285,5,-1,0,no
46,management,divorced,3,1297,no,no,716,3,-1,0,yes
29,management,divorced,3,415,yes,yes,449,4,-1,0,no
58,self-employed,married,1,671,yes,no,16,3,-1,0,no
40,admin.,single,2,2378,yes,no,65,1,-1,0,no
34,management,married,3,417,yes,no,138,1,-1,0,no
60,retired,married,1,71,no,no,121,3,-1,0,no
43,management,married,3,1188,no,no,140,2,-1,0,no
50,blue-collar,married,1,8139,yes,no,256,6,-1,0,no
33,blue-collar,married,2,249,yes,no,61,4,-1,0,no
37,blue-collar,married,1,689,yes,no,367,2,-1,0,no
55,self-employed,married,2,203,yes,no,9,5,174,12,no
45,blue-collar,single,1,-183,no,yes,395,4,-1,0,no
